file,ticid,sector,cadence,best_period_days,max_power,amplitude_percent,peak1_period,peak2_period,peak3_period,peak4_period,peak5_period,peak1_power,peak2_power,peak3_power,peak4_power,peak5_power,power_pass,ref_period,period_agree,power_and_agree,double_dipper,true_period_d
tess2018206045859-s0001-0000000299798795-0120-s_lc.fits,299798795,1,slow,1.2339635509231468,0.5405235570684127,1.66183293,1.2339635509231468,0.6141820100821633,1.072561897088638,1.4525461321595745,0.866005337991036,0.5405235570684127,0.0421396588770688,0.0190960134135732,0.0147543671390524,0.0109040130437252,True,1.228666162061912,True,True,False,1.2339635509231468
tess2018206045859-s0001-0000000299799658-0120-s_lc.fits,299799658,1,slow,4.983954089150902,0.0051934334065233,0.19647956,4.983954089150902,13.98199390895321,1.3670832982258885,3.170373898261367,0.1008716432055859,0.0051934334065233,0.0028731414212846,0.0012772486395756,0.0012410146355195,0.0009517700971079,False,8.645363270039987,False,False,False,4.983954089150902
tess2018206045859-s0001-0000000394357918-0120-s_lc.fits,394357918,1,slow,3.032436078340237,0.0010414882528755,3.98817718,3.032436078340237,3.5771375838140216,0.1381619590837334,0.295987561310319,7.757417025944032,0.0010414882528755,0.0009869779427549,0.0007745022205034,0.0007587926487933,0.0006966527468632,False,6.419231756442765,False,False,False,3.032436078340237
tess2018263035959-s0003-0000000122612091-0123-s_lc.fits,122612091,3,slow,2.2008170474678472,0.058281639720193,0.3755033,2.2008170474678472,1.1133318401893122,0.5538366086365478,0.7397020152244275,0.3699448373999583,0.058281639720193,0.0474556304002069,0.0411363591945104,0.0348878576341693,0.0338839015422744,True,2.2008170474678472,True,True,False,2.2008170474678472
tess2018263035959-s0003-0000000166836920-0123-s_lc.fits,166836920,3,slow,1.1512341645067294,0.0733667030601113,0.17068088,1.1512341645067294,0.9649670321685538,0.8238320073839752,1.4469724908333037,2.891080422773954,0.0733667030601113,0.072701224814302,0.0642184007203475,0.0631283526163783,0.0593607830172948,True,1.1512341645067294,True,True,False,1.1512341645067294
tess2018292075959-s0004-0000000004646810-0124-s_lc.fits,4646810,4,slow,11.229881596093149,0.6822595362405249,0.3143847,11.229881596093149,6.958190671482707,4.672849979486583,3.833475025070253,3.2497319879104483,0.6822595362405249,0.3159574346326227,0.0254067231644626,0.023481719135701,0.0223944652473612,True,11.229881596093149,True,True,False,11.229881596093149
tess2018292075959-s0004-0000000029960110-0124-s_lc.fits,29960110,4,slow,11.222418771337248,0.2109194879955533,0.67762256,11.222418771337248,7.350986109907936,3.828781614042388,5.465526467855892,3.2456097848585213,0.2109194879955533,0.1088434799271975,0.0249512166004253,0.0242196475214752,0.0132620184352878,True,11.222418771337248,True,True,False,11.222418771337248
tess2018292075959-s0004-0000000035857242-0124-s_lc.fits,35857242,4,slow,1.818269532201775,0.0313327254049398,0.58233142,1.818269532201775,1.2144817849301048,0.9052792443153608,0.5195073708036457,0.6083963211817268,0.0313327254049398,0.0250228009752269,0.0227001822230411,0.0201359550998905,0.019792259477686,False,1.818269532201775,True,False,False,1.818269532201775
tess2018292075959-s0004-0000000122612091-0124-s_lc.fits,122612091,4,slow,2.224878052680178,0.0529792831013221,0.35904765,2.224878052680178,1.1064959104559169,0.5541690744349763,0.740624232778578,0.442714021596591,0.0529792831013221,0.0473342417904102,0.0358578796092314,0.0336226816218944,0.0296390824721362,True,2.2008170474678472,True,True,False,2.224878052680178
tess2018292075959-s0004-0000000178155732-0124-s_lc.fits,178155732,4,slow,3.0884874267745084,0.0521902254674159,0.05108714,3.0884874267745084,2.641730791773041,3.512824381773799,1.462817464637881,1.2862054289724316,0.0521902254674159,0.0406176144457666,0.0347302308596196,0.0304348337670005,0.0106192621003762,True,3.0884874267745084,True,True,False,3.0884874267745084
tess2018292075959-s0004-0000000382391899-0124-s_lc.fits,382391899,4,slow,5.455828791045183,0.047419410855005,0.59687853,5.455828791045183,1.9508562470393604,0.4879588500820944,0.3258781954357398,0.3907788429819444,0.047419410855005,0.0410667338183396,0.0372914194623175,0.0347753302534697,0.0346563656486707,False,5.455828791045183,True,False,False,5.455828791045183
tess2018292075959-s0004-0000000439867639-0124-s_lc.fits,439867639,4,slow,3.1680324734364858,0.0037888161017236,1.73906088,3.1680324734364858,3.7206072403341457,11.22754497073426,4.671151015621909,5.4696616591310825,0.0037888161017236,0.0036299585828882,0.0027418788594234,0.0021075980532964,0.0012529625085953,False,3.1680324734364858,True,False,False,3.1680324734364858
tess2019169103026-s0013-0000000299798795-0146-s_lc.fits,299798795,13,slow,1.224550238933325,0.2553530625838806,1.07702553,1.224550238933325,0.612562831196864,1.4492175854641816,1.068157033345826,0.4107993730181022,0.2553530625838806,0.0240055422128364,0.0135093171139563,0.0071924174210083,0.005418854742103,True,1.228666162061912,True,True,False,1.224550238933325
tess2019169103026-s0013-0000000299799658-0146-s_lc.fits,299799658,13,slow,5.662567967391886,0.0055294241170696,0.20034194,5.662567967391886,3.083599174888564,10.846052791306375,2.728544195775014,2.0280103672170324,0.0055294241170696,0.0054004020664011,0.0048227011702613,0.0043914817564958,0.0019745046712053,False,8.645363270039987,False,False,False,5.662567967391886
tess2019306063752-s0018-0000000302773669-0162-s_lc.fits,302773669,18,slow,6.575320594040111,0.0272573785229302,0.10332108,6.575320594040111,2.181808549236912,3.9344105678199432,1.176945879822548,1.471633509562582,0.0272573785229302,0.0241396489538699,0.0233880376104366,0.016554540329311,0.0163309369190036,False,6.575320594040111,True,False,False,6.575320594040111
tess2019306063752-s0018-0000000408618999-0162-s_lc.fits,408618999,18,slow,10.806726042907847,0.0195380190258745,0.12544513,10.806726042907847,5.37311203724656,4.725164106128179,2.404998436282169,0.7843094508663355,0.0195380190258745,0.0050753937308565,0.0047805199555991,0.0038438172742652,0.0034858007808514,False,10.507278167016574,True,False,False,10.806726042907847
tess2019306063752-s0018-0000000436873727-0162-s_lc.fits,436873727,18,slow,1.015884999565234,0.4594631348701575,0.14448762,1.015884999565234,0.5099919622057364,0.8869462109389687,1.4323323447775742,1.2007036112144098,0.4594631348701575,0.0548014891429036,0.0283952987003988,0.0145139181917962,0.0123306791579053,True,1.015884999565234,True,True,False,1.015884999565234
tess2019331140908-s0019-0000000302773669-0164-s_lc.fits,302773669,19,slow,2.0062034519166123,0.0119870497934383,0.08894086,2.0062034519166123,4.270102123252824,1.368571298579608,1.5959561599029752,0.6669035620679952,0.0119870497934383,0.0116750393647197,0.0102026995790684,0.0092482395749308,0.0076656317010467,False,6.575320594040111,False,False,True,4.270102123252824
tess2019331140908-s0019-0000000408618999-0164-s_lc.fits,408618999,19,slow,2.26040762987138,0.0023338536911797,0.11824131,2.26040762987138,0.2725039109299318,12.19029095526095,1.7049010149219732,1.2841268011388165,0.0023338536911797,0.0014076755340664,0.0012760320133316,0.0012225008633078,0.0010973139413183,False,10.507278167016574,False,False,False,2.26040762987138
tess2020133194932-s0025-0000000302773669-0182-s_lc.fits,302773669,25,slow,4.516873816084808,0.0129321830504206,0.09665489,4.516873816084808,2.358789235167829,1.701989109528716,1.4853458994638151,0.6100269527481974,0.0129321830504206,0.0089687532129707,0.0071502485222645,0.0070171136442787,0.0067247207770486,False,6.575320594040111,False,False,False,4.516873816084808
tess2020133194932-s0025-0000000408618999-0182-s_lc.fits,408618999,25,slow,7.818280043871862,0.0027788964393623,0.12457967,7.818280043871862,2.402949449746411,1.1731233104402023,3.175830585456036,1.4355140479901114,0.0027788964393623,0.0025768348272329,0.0022937977844119,0.0021695991518187,0.0021345484439345,False,10.507278167016574,False,False,False,7.818280043871862
tess2020186164531-s0027-0000000299798795-0189-a_fast-lc.fits,299798795,27,fast,1.22939991841265,0.3858336395241211,2.22534835,1.22939991841265,0.6149827507456044,1.0493706745527662,1.6898420994612982,1.48399256739848,0.3858336395241211,0.0756187447993842,0.0139255586601301,0.0077697421147128,0.007539624312064,True,1.228666162061912,True,True,False,1.22939991841265
tess2020186164531-s0027-0000000299798795-0189-s_lc.fits,299798795,27,slow,1.2252116897338243,0.6288790900488186,1.79965198,1.2252116897338243,0.6154085368054617,1.5084130459566176,1.040680824682001,1.7306527375038834,0.6288790900488186,0.1079507016869825,0.0271586649403553,0.0129209445064267,0.0120597180417295,True,1.228666162061912,True,True,False,1.2252116897338243
tess2020186164531-s0027-0000000299799658-0189-a_fast-lc.fits,299799658,27,fast,8.645363270039987,0.0935219414371283,0.51330626,8.645363270039987,2.384428059475172,2.964705684714937,4.048471242739878,1.930907521420684,0.0935219414371283,0.0079416632691919,0.0071237310211762,0.0057501575427627,0.0014231978663188,True,8.645363270039987,True,True,False,8.645363270039987
tess2020186164531-s0027-0000000299799658-0189-s_lc.fits,299799658,27,slow,3.375190406599749,0.0046064802098296,0.20930767,3.375190406599749,7.127456080179444,5.056436181308384,1.7889798093938605,0.1215586429915469,0.0046064802098296,0.0028224650007834,0.0020976442294973,0.0012814960734536,0.0012286571449395,False,8.645363270039987,False,False,True,7.127456080179444
tess2020212050318-s0028-0000000299798795-0190-a_fast-lc.fits,299798795,28,fast,1.2333522253420577,0.3605365556724391,2.20279694,1.2333522253420577,0.616402466554714,1.4990435464516372,1.038466815769828,1.9106369657119016,0.3605365556724391,0.0747450190853038,0.0218153154984978,0.0191289908640777,0.0047497217006151,True,1.228666162061912,True,True,False,1.2333522253420577
